pool_address,token0,token1,fee
0x03af20bdaaffb4cc0a521796a223f7d85e2aac31,0x4200000000000000000000000000000000000006,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x827f0a2a4376bc26729f398b865f424dc8456841,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x73b14a78a0d396c521f954532d43fd5ffe385216,0x4200000000000000000000000000000000000006,0x68f180fcce6836688e9084f035309e29bf0a2095,3000
0xdd0c6bae8ad5998c358b823df15a2a4181da1b80,0x4200000000000000000000000000000000000006,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0x815ae7bf44dda74ed9274377ed711efc8b567911,0x4200000000000000000000000000000000000006,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0x95d9d28606ee55de7667f0f176ebfc3215cfd9c0,0x4200000000000000000000000000000000000006,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x2df05e4cdbd758cb1a99a34bb0d767e040d6b078,0x4200000000000000000000000000000000000006,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,10000
0x85c31ffa3706d1cce9d525a00f1c7d4a2911754c,0x4200000000000000000000000000000000000006,0x68f180fcce6836688e9084f035309e29bf0a2095,500
0x37ffd11972128fd624337ebceb167c8c0a5115ff,0x4200000000000000000000000000000000000006,0x68f180fcce6836688e9084f035309e29bf0a2095,10000
0xc858a329bf053be78d6239c4a4343b8fbd21472b,0x4200000000000000000000000000000000000006,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,500
0xb29a022ff4b37bdfb21e5f1daff4af5a22aa9510,0x4200000000000000000000000000000000000006,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,500
0x0392b358ce4547601befa962680bede836606ae2,0x4200000000000000000000000000000000000006,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,3000
0xfea834a5c47b923add607cc5b96288d18ffb9c3f,0x4200000000000000000000000000000000000006,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,10000
0xac721d2e27ca148f505b5106fc95e594c78ace5b,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,10000
0xa13514b5444e50067f6e48c386016b211773cf9e,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0xcf2aebb91fec906f51fc11cd57035a09d8b16965,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0xea0f33940eb221aaad9360891cab08ef4f1f0703,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x703eb589321f3dc7408e9dde01b790e64a9fe4e9,0x68f180fcce6836688e9084f035309e29bf0a2095,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0xc22662b904d98e45f89e030201355c3e372cc819,0x68f180fcce6836688e9084f035309e29bf0a2095,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x1aa9b4d9933ff96b2011fddd764240d4a16b7c07,0x68f180fcce6836688e9084f035309e29bf0a2095,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x2459023a29d3b07711b8b916d86aa7e8a14747af,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0xadb35413ec50e0afe41039eac8b930d313e94fa4,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x84eb2c5c23999b3ddc87be10f15ccec5d22c7d97,0x4200000000000000000000000000000000000006,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,500
0x2e80d5a7b3c613d854ee43243ff09808108561eb,0x4200000000000000000000000000000000000006,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,3000
0x3d44cc727fe2f603e4929be164c70edb3b498b5f,0x4200000000000000000000000000000000000006,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,10000
0xa588c9d2884c60b098c5ad028ec2f4a1fab772b5,0x68f180fcce6836688e9084f035309e29bf0a2095,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,10000
0xc53f2be3331926d2f30ee2b10362bb45fdbe7bf6,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,500
0x0843e0f56b9e7fdc4fb95fabba22a01ef4088f41,0x68f180fcce6836688e9084f035309e29bf0a2095,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0x8184f5cf4921558c201923ef6d7d5258a6efa31f,0x68f180fcce6836688e9084f035309e29bf0a2095,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,500
0x8b057f0ccd9fb78f688472574cf3f9d2322f5454,0x68f180fcce6836688e9084f035309e29bf0a2095,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,10000
0x9f08065dfc4817a0a56db7bcab757e86399bc51d,0x68f180fcce6836688e9084f035309e29bf0a2095,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,500
0x7628784d2c5d47fcd5479ba812343b1aabad6484,0x68f180fcce6836688e9084f035309e29bf0a2095,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,3000
0xceb488e01c8e2e669c40b330bfc1440921c9ebe2,0x68f180fcce6836688e9084f035309e29bf0a2095,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,10000
0x25e412992634b93a025e2a538c53222a8c62e2d6,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,10000
0xc0f184c6c4832b3ed861bd5b05722792ffa64abd,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,3000
0xf046d8b7365d8abe5a8f8301c669b4b5284fc21d,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,500
0x1f2390484dfe2d8900bc91c7111d274b7b2d63a1,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0xa0959d2dcd9dd56bf080a10cfe29eeb401344e3d,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0x30be2fff09fcd820a1d472e646bd233dbd812133,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,10000
0x3202c46666e774b44ba463eafaa6da9a968a058f,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x4200000000000000000000000000000000000006,10000
0x85e8d0fddf559a57aac6404e7695142cd53eb808,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x68f180fcce6836688e9084f035309e29bf0a2095,10000
0x22fc5dc36811d15fafde7cc7900ae73a538e59e0,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,10000
0xe7ee03b72a89f87d161425e42548bd5492d06679,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0xfe1bd31a79163d6277ab8c2917d7857c225db065,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,3000
0xbf595eb9a512b1c274125264aef84a2847158eb3,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,3000
0x124657e5bb6afc12a15c439d08fc80070f9a1a1e,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0xd6101cda1a51924e249132cbcae82bfcd0a91fbc,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x19ea026886cbb7a900ecb2458636d72b5cae223b,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x4200000000000000000000000000000000000006,3000
0x5aacc66073cb0c3064353f1441c2e04170b4dbbf,0x4200000000000000000000000000000000000006,0xc5db22719a06418028a40a9b5e9a7c02959d0d08,3000
0x4284b21e76d1b3977cab8f0032867e00e6eea382,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0xc5db22719a06418028a40a9b5e9a7c02959d0d08,500
0x5b0e07a0421bd25fb4c45a88fec05b29e83594f6,0x4200000000000000000000000000000000000006,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,500
0x2f10a1a3e640ad1615cbedf95a1749a4af88cbc0,0xb548f63d4405466b36c0c0ac3318a22fdcec711a,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x32846ede08688d10a9da59387707a8fbb0790fa7,0x4200000000000000000000000000000000000006,0xab7badef82e9fe11f6f33f87bc9bc2aa27f2fcb5,3000
0xbdb6371fffc1753b33b87c68c827eb7978670515,0x4200000000000000000000000000000000000006,0x6fd9d7ad17242c41f7131d257212c54a0e816691,500
0x2eee8ed7df992f23d7554b0db8835d483cce901c,0x298b9b95708152ff6968aafd889c6586e9169f1d,0x68f180fcce6836688e9084f035309e29bf0a2095,10000
0x65dc095b35679005229896566928f6852948092b,0x298b9b95708152ff6968aafd889c6586e9169f1d,0x68f180fcce6836688e9084f035309e29bf0a2095,500
0x2d6497dd08a1620d386ce708edac50aaec332415,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,10000
0x039ae8860fbfdf61f654b1a5b55cc3aa753f5842,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0x24342b5d46f69ba05c09becdd00e5324f9f0f7ca,0x298b9b95708152ff6968aafd889c6586e9169f1d,0x4200000000000000000000000000000000000006,10000
0xf0d0e52da1fdde512af299f3d8ea1c5e3bebb96f,0x4200000000000000000000000000000000000006,0xe3c332a5dce0e1d9bc2cc72a68437790570c28a4,3000
0xb589969d38ce76d3d7aa319de7133bc9755fd840,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,3000
0x8eda97883a1bc02cf68c6b9fb996e06ed8fdb3e5,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,500
0x100bdc1431a9b09c61c0efc5776814285f8fb248,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0xe229ce1cdbea9983362ca29f0f0b2c70bb2dacdf,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0xd9b160620447d9a9a6ca90c0450f5490e5219257,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x1179b19438a622fe36be5f9c073b700420384397,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0xf3f3433c3a97f70349c138ada81da4d3554982db,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,500
0x85149247691df622eaf1a8bd0cafd40bc45154a9,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,500
0x6fa1ea0ccbbe9b2ad52440c88a47b5d73cd9a731,0x298b9b95708152ff6968aafd889c6586e9169f1d,0x4200000000000000000000000000000000000006,500
0xad4c666fc170b468b19988959eb931a3676f0e9f,0x4200000000000000000000000000000000000006,0x6fd9d7ad17242c41f7131d257212c54a0e816691,3000
0x4983691a26d55eb9e18d2e12e3b770cdd3f76a5f,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0x8e2eaef2c05ef93f424a8324b94e725eaa362f91,0x4200000000000000000000000000000000000006,0x6fd9d7ad17242c41f7131d257212c54a0e816691,10000
0x8531e48a8611729185be9eaad945acbd6b32e256,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x4200000000000000000000000000000000000006,500
0xeb1817b708415f4f78c5f0c99cbbd6a3a899fa6d,0x6fd9d7ad17242c41f7131d257212c54a0e816691,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0x26e7fed14a97e0c482a302237971cf1b04f6d3e9,0x6fd9d7ad17242c41f7131d257212c54a0e816691,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x3926a81afe5c9c3d05296e4fac4728ba5411ac78,0x6fd9d7ad17242c41f7131d257212c54a0e816691,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0x7a5ea63fe3430a3b9a06fd80a4a9afaa17c1e878,0x4200000000000000000000000000000000000006,0xb27e3eab7526bf721ea8029bfcd3fdc94c4f8b5b,10000
0xf5a389030a565c13d6e6bbe9342ac9d31dc7521a,0x4200000000000000000000000000000000000006,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,3000
0x6168ec836d0b1f0c37381ec7ed1891a412872121,0x68f180fcce6836688e9084f035309e29bf0a2095,0x7f5c764cbc14f9669b88837ca1490cca17c31607,3000
0x2024c394741a5301e89a375b7bf52f865bc166fd,0x6fd9d7ad17242c41f7131d257212c54a0e816691,0x7f5c764cbc14f9669b88837ca1490cca17c31607,3000
0x91cca461ee9435848ac0da8fc416ad0816272786,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0x865d39d66dee5719e6bee98885ef40b9a36bf56e,0x6fd9d7ad17242c41f7131d257212c54a0e816691,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,500
0x1fff624960ff9d0556420f3647d6aaf06389aab1,0x6fd9d7ad17242c41f7131d257212c54a0e816691,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,3000
0xc8c07386e29f3f239b91019d5426ae139c5bd17b,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x96db852d93c2fea0f447d6ec22e146e4e09caee6,10000
0x1b19825a9e32b1039080acb1e1f9271314938b96,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x602a4d0f9e8d40ad3f620050efd1690da908dc0d,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b,500
0x345ddb5743859efce0e6e8293ebd35373d34b6c7,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,10000
0x94ad9a19126ebb02dda874237e5820fd4943f5de,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000
0x905707e5c7a10e8351bbd03347be8b5f5de7301a,0x68f180fcce6836688e9084f035309e29bf0a2095,0x6fd9d7ad17242c41f7131d257212c54a0e816691,10000
0x7d1602f342787f80aef458c10e741149a1697447,0x68f180fcce6836688e9084f035309e29bf0a2095,0x6fd9d7ad17242c41f7131d257212c54a0e816691,3000
0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,0x68f180fcce6836688e9084f035309e29bf0a2095,0x7f5c764cbc14f9669b88837ca1490cca17c31607,500
0xb0eca217602b031e03956553fb510085c9f2df28,0x4200000000000000000000000000000000000006,0x8f69ee043d52161fd29137aedf63f5e70cd504d5,3000
0x320616dbe138aa2f3db7a5a46ba79a13032cc5f2,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,3000
0xba213008fe93b3591e439f3b2aa51b3e4a2bd7c7,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x7f5c764cbc14f9669b88837ca1490cca17c31607,3000
0x680b4eb8b9b8533d503a545adad4af9f00df5f05,0x4200000000000000000000000000000000000006,0x7c17611ed67d562d1f00ce82eebd39cb7b595472,10000
0x296b88b607ea3a03c821ca4dc34dd9e7e4efa041,0x4200000000000000000000000000000000000006,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b,10000
0xa99638e4ac81d4ce32c945c1415f89ab8d86bf2c,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,10000
0x9bb3267c4c3e69a961479c475f8fcc4c300af5bd,0x4200000000000000000000000000000000000006,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b,3000
0x65f8a80d8049a77619435f841055fa4c8d785c47,0x4200000000000000000000000000000000000006,0x96db852d93c2fea0f447d6ec22e146e4e09caee6,500
0xd3265ea86af798659b4132a453e7cdb29b877e10,0x96db852d93c2fea0f447d6ec22e146e4e09caee6,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x8dfc59e8b119bffa5f552642028e005b1972edc4,0x6fd9d7ad17242c41f7131d257212c54a0e816691,0x96db852d93c2fea0f447d6ec22e146e4e09caee6,500
0xc210aeb4e84e0c3b6ee5816858984d52d04f0219,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x96db852d93c2fea0f447d6ec22e146e4e09caee6,500
0x9aaa481a863e95168c01f23640b357b014dff09a,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,500
0x25cc77a38f8de3b9b090fea8f0f5995c4e10a386,0x4200000000000000000000000000000000000006,0xe0bb0d3de8c10976511e5030ca403dbf4c25165b,10000
