symbol,op_token_address,eth_token_address,decimals
MAI,0xdfa46478f9e5ea86d57387849598dbfb2e964b02,,18
VELO,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,,18
WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
DOLA,0x8ae125e8653821e851f12a49f7765db9a9ce7384,0x865377367054516e17014ccded1e7d814edc9ce4,18
THALES,0x217d47011b23bb961eb6d93ca9945b7501a5bb11,0x8947da500eb47f82df21143d0c01a29862a8c3c5,18
CRV,0x0994206dfe8de6ec6920ff4d779b0d950605fb53,0xd533a949740bb3306d119cc777fa900ba034cd52,18
sUSD,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18
USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
KROM,0xf98dcd95217e15e05d8638da4c91125e59590b07,0x3af33bef05c2dcb3c7288b77fe1c8d2aeba4d789,18
sLINK,0xc5db22719a06418028a40a9b5e9a7c02959d0d08,0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6,18
AELIN,0x61baadcf22d2565b0f471b291c475db5555e0b76,,18
SNX,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
FRAX,0x2e3d870790dc77a83dd1d18184acc7439a53f475,0x853d955acef822db058eb8505911ed77f175b99e,18
sAMM-VELO/USDC,0x335bd4ffa921160fc86ce3843f80a9941e7456c6,,18
FXS,0x67ccea5bb16181e7b4109c9c2143c24a1c2205be,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,18
STG,0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,18
USX,0xbfd291da8a403daaf7e5e9dc1ec0aceacd4848b9,,18
L2DAO,0xd52f94df742a6f4b4c8b033369fe13a41782bf44,,18
OP,0x4200000000000000000000000000000000000042,,18
USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0xdac17f958d2ee523a2206206994597c13d831ec7,6
LYRA,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x01ba67aac7f75f647d94220cc98fb30fcc5105bf,18
RAI,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,18
agEUR,0x9485aca5bbbe1667ad97c7fe7c4531a624c8b1ed,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,18
sETH,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb,18
vAMM-WETH/WBTC,0x03c188a43b3deea4426599f2e582aab6e76417d3,,18
WETH,0x4200000000000000000000000000000000000006,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
PERP,0x9e1028f5f1d5ede59748ffcee5532509976840e0,0xbc396689893d065f41bc2c6ecbee5e0085233447,18
OPDOGE,0x276b372032fedaeff592125e8d8dd9b852abd6a8,,18
alUSD,0xcb8fa9a76b8e203d8c3797bf438d8fb81ea3326a,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,18
sBTC,0x298b9b95708152ff6968aafd889c6586e9169f1d,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,18
rETH,0x9bcef72be871e61ed4fbbc7630889bee758eb81d,0xae78736cd615f374d3085123a210448e74fc6393,18
renBTC,0x85f6583762bc76d775eab9a7456db344f12409f7,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,8
DF,0x9e5aac1ba1a2e6aed6b32689dfcf62a509ca96f3,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,18
BitANT,0x5029c236320b8f15ef0a657054b84d90bfbeded3,0x15ee120fd69bec86c1d38502299af7366a41d1a6,18
DAI,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0x6b175474e89094c44da98b954eedeac495271d0f,18
LUSD,0xc40f949f8a4e094d1b49a23ea9241d289b7b2819,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,18
HND,0x10010078a54396f62c96df8532dc2b4847d47ed3,0x10010078a54396f62c96df8532dc2b4847d47ed3,18
alETH,0x3e29d3a9316dab217754d13b28646b76607c5f04,0x0100546f2cd4c9d97f798ffc9755e47865ff7ee6,18
OPDOGE,0xbc7655317aaf68dd461b4a49d61b91069821c808,,18
OptyFi,0xa804271ec55e891670caf9a85dba77170d4af99d,,18
pETHo,0x6ca558bd3eab53da1b25ab97916dd14bf6cfee4e,,18
TEST,0x8940f1aadb2aa8e64f8d73b3e3affa85acb2abbd,,18
opdoge,0xedd32ea171ac672c87acd5e9a535051521f4b74e,,18
sETHo,0x09448876068907827ec15f49a8f1a58c70b04d45,,18
SEED,0x1ad0abe4fd37e8f1e1b0a018425b5e4eae703304,,18
SEED-TEST,0x17bcc8f26d44ecfa5f56abebe4ac8bc0ab71069a,,18
TT,0x1ce444cd37ddbff1ab6a901140d8a5ad3e810118,,18
SS,0x8ff13f65f9f0e0b70bf0b15d1d4a5d808c571511,,18
PREMIA,0x374ad0f47f4ca39c78e5cc54f1c9e426ff8f231a,,18
SSHARE-TEST,0x66bdc9ab6cb33d9cfbe05cc3d3eea69bbd92ae35,,18
POOL,0x395ae52bb17aef68c2888d941736a71dc6d4e125,,18